ncons,Id IMDb,Identité,Photo de profil,Connu pour ces Films,Popularité,Biographie,Année de naissance,Lieu de naissance,Année de décès,Métier,Profession Primaire,Profession Secondaire,Profession Tertiaire
nm4024563,,Milo Frank,,tt0232537,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1312065,1733317.0,Kevin Linell,,"tt3205802,tt4094300,tt7146326,tt0092325",0.0495,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm9344392,,Donna Neuwirth,,tt0232537,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm9344406,,Jay Lamont Pope,,tt0232537,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1200557,,Christian Pernet,,"tt0234663,tt0169509",,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1199928,,Romain R'Bibo,,tt0234663,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1199256,,Samir Fouzari,,tt0234663,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm1199132,,Abder-Kader Dahou,,tt0234663,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0563573,1004579.0,Bernard Mazzinghi,/lrvaXWzOEODvO6pSJ1KOAkjKo0c.jpg,"tt0234940,tt0233230,tt6423016,tt0102368",0.0513,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0220087,1086225.0,Patrick Depeyrrat,,"tt0088357,tt0082436,tt0082844,tt1734450",0.0143,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0038450,224151.0,Pierre Banderet,/75wjERuDLYzwATfyuoygQ3sJ2w1.jpg,"tt0085550,tt0115070,tt0136289,tt0119620",0.166,"Pierre Banderet, né le 16 décembre 1954 à Saint-Aubin en Suisse est un acteur suisse de théâtre, de cinéma et de télévision.

Pierre Banderet a été formé à l'école romande d'art dramatique d'où il sort diplômé en 1976. Il poursuit sa formation au Conservatoire national supérieur d'art dramatique de Paris entre 1977 et 1979. Il se produit dans de nombreux spectacles à partir de 1987. Il joue notamment dans Les Fausses Confidences de Marivaux dirigé par Jacques Lassalle, dans Hamlet mis en scène par Antoine Vitez, dans des pièces de Labiche4 Au cinéma il tourne notamment sous la direction de Robert Guédiguian.

Il reçoit un prix d'interprétation pour Supermarché en 2007.

Source: Article ""Pierre Banderet"" de Wikipédia en français, soumis à la licence CC-BY-SA 3.0.",1954-12-16,"Saint-Aubin, Fribourg, Switzerland",Inconnu,actor,actor,Inconnu,Inconnu
nm0094858,79035.0,Patrick Bonnel,/5bFqClPIBQFKPKvJuN2VwNoNThg.jpg,"tt2752200,tt0089024,tt0093769,tt1508675",0.1814,Inconnu,Inconnu,France,Inconnu,actor,actor,Inconnu,Inconnu
nm0147141,,Francis Caviglia,,tt0235108,,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0545048,1907407.0,Christian Marc,,"tt0120631,tt0237534,tt0173601,tt0204108",0.0218,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0295923,290220.0,Jean-Claude Frissung,/dgSWhJGZNLRF0IVBuYmWEEIFVZ8.jpg,"tt0167644,tt0109798,tt0348778,tt0498118",0.5965,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0179090,1457135.0,Johan Corbeau,,"tt0086924,tt0088768,tt0090811,tt0167833",0.07,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
nm0730104,16330.0,Jean-Yves Roan,/gsDj7oKBbb4WTjZGIGjhr3Z0HUe.jpg,"tt1550312,tt1599975,tt1594534,tt0133314",0.0357,Inconnu,Inconnu,Inconnu,Inconnu,actor,actor,Inconnu,Inconnu
