ncons,Id IMDb,Identité,Photo de profil,Connu pour ces Films,Popularité,Biographie,Année de naissance,Lieu de naissance,Année de décès,Métier,Profession Primaire,Profession Secondaire,Profession Tertiaire
nm1007739,4281.0,Julie Navarro,/lNUr9AVE0O71ksDiEnlwh1FcJW3.jpg,"tt0354899,tt30309698,tt1550312,tt15006566",0.1813,Inconnu,1974-07-07,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm0481036,36126.0,Marie-Christine Lafosse,,"tt0120744,tt1655442,tt0091288,tt0229930",0.1213,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,actress,casting_department
nm2180202,,Laura Sotirova,,"tt0445946,tt4535650,tt2631186,tt0387877",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,production_department
nm2925260,963497.0,Natalie Lyon,,"tt2380307,tt2948372,tt1049413,tt2096673",0.0667,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,miscellaneous,production_department
nm0659925,552421.0,Pasiree Panya,,"tt0462499,tt0097027,tt9021140,tt0263101",0.0478,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,costume_department,actress
nm1553275,66493.0,Sunday Boling,/zmrYUz5aauym1QQdnapHRITyoGh.jpg,"tt3766394,tt0473308,tt4400994",0.1597,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,director,casting_department
nm0064490,1026680.0,Emmanuelle Beaugrand-Champagne,,"tt1550312,tt0101372,tt0119674,tt0284214",0.0379,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,writer,script_department
nm0157354,3037856.0,Sylvia Chiflet-Allegre,,"tt1455151,tt0996930,tt0167926,tt0825244",0.0286,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,actress
nm3361581,1533490.0,Martin Ware,/fcnAQLz5W1eMHeYrMiKkW27FXaE.jpg,"tt9253284,tt13649112,tt8681148,tt20215234",0.1492,Inconnu,1984-11-25,"Lewisham, London, England, UK",Inconnu,casting_director,casting_director,actor,casting_department
nm5433843,,Lani Thomison,,"tt2201548,tt6763778,tt11394340,tt6089574",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,actress,production_designer
nm0006746,1116126.0,Meredith Layne,,"tt1877889,tt0414853,tt0892700,tt0119282",0.1702,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,miscellaneous,casting_department
nm2554892,969946.0,Jason Henkel,,"tt7215232,tt18270542,tt29552248,tt0823671",0.1344,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,music_department,actor
nm7035230,3037745.0,Maya Kessel,,"tt5948836,tt5368322,tt37497112,tt8214936",0.0256,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,director,writer
nm0643342,,Monique Akin,,"tt0347048,tt5723272,tt1244668,tt0880502",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,actress,director
nm5619349,1431081.0,Bahijja El Amrani,,"tt2278871,tt10199590,tt3772660,tt3838728",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,script_department,assistant_director
nm3026421,1024908.0,Amine Louadni,/uus3F1sK5czgVrhU4XXwCU5ihV.jpg,"tt0320661,tt14225838,tt0947810,tt1448755",0.0798,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm3941195,,Chiara Polizzi,,"tt14561712,tt3278330,tt10627584,tt6752992",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm0155575,993814.0,Jie Cheng,,"tt0425637,tt0327437,tt0353305,tt0367765",0.0261,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,editor
nm0156679,1478209.0,Paula Chevallet,,"tt0115973,tt0304907,tt1304873,tt0102428",0.0538,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm0370400,29940.0,Gillian Hawser,,"tt14813212,tt1536537,tt6237612,tt0393329",0.0707,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,actress,casting_department
nm2668716,1632355.0,Mohamed Belhamar,,"tt0936501,tt1964624,tt1675434,tt2053425",0.0686,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm7266158,,Florencia Inés González,,"tt27729779,tt4610958,tt23810872,tt16156592",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,director,assistant_director
nm0119561,1459966.0,Teresa Violetta Buhl,,"tt0101765,tt0095467,tt0111507,tt0084549",0.1087,Inconnu,1954-09-16,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm4511088,,Ahmed El Attar,,"tt1701210,tt0758799",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,executive,manager
nm3736579,,Leli Miminoshvili,,"tt8963708,tt7483328,tt1695405,tt1543701",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm3634775,1410878.0,Katja Wik,,"tt3328122,tt5396396,tt2121382,tt8587142",0.0496,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,director
nm0525441,1631998.0,Crystal Lujan,/sU4KQt3C0oVh5aPneLhUeX8cwZL.jpg,"tt14588692,tt36589564,tt13924926,tt8005600",0.2789,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,actress,casting_department
nm0269544,1127865.0,Ann Fay,/slvKDkUNWwQjJYMPeC6BZU7nts4.jpg,"tt5461944,tt0231402,tt1523267,tt1321869",0.4642,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,actress,casting_department
nm2871336,,Micah Dahlberg,,"tt1431045,tt0265208,tt4593060,tt0449010",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,miscellaneous,casting_department
nm0425334,60362.0,Jeff Johnson,/blkBbIxortmsqywW2Yf1mGgo6dr.jpg,"tt4236770,tt0412080,tt0475293,tt7784604",0.126,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,actor,casting_department
nm1469027,,Juna Suleiman,,"tt8496020,tt14775586,tt2852406,tt0274428",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm1673078,,Salem Daldoul,,"tt0397388,tt0378219,tt14491688,tt7687254",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,assistant_director,casting_department
nm2203632,65574.0,Lucciana de Vogüe,,"tt5078204,tt8745676,tt0869994,tt0920473",0.0071,Inconnu,Inconnu,Inconnu,Inconnu,actress,casting_director,casting_department,actress
nm0712981,4022.0,Robyn Ray,,"tt0120804,tt0318627,tt0398913,tt0160862",0.3744,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0079056,14377.0,Juel Bestrop,,"tt1119646,tt2467372,tt4384086,tt2461150",0.2525,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,camera_department
nm0956722,8313.0,Jeremy Zimmermann,/nbC7GANydA7g5ew8QmtxoCfdYpw.jpg,"tt0411477,tt14444726,tt0490181,tt0102798",0.4211,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0843514,1113.0,Lucinda Syson,,"tt0451279,tt0372784,tt0206634,tt1250777",0.6431,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,writer
nm0002666,14096.0,Nancy Klopper,/4l4SNkIWeAiG5tLadx6UG3NJ9iX.jpg,"tt0350258,tt0120667,tt0151804,tt0118971",0.3006,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm0745973,89630.0,Richard Rousseau,,"tt2053425,tt1235166,tt0274117,tt0996605",0.4445,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm0301255,21573.0,Stéphane Gaillard,,"tt6472922,tt0286917,tt0265932,tt0299556",0.0423,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0759196,,Gale Salus,,"tt0100114,tt0106216,tt0115953,tt0101486",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0061582,72324.0,Stéphane Batut,/4KBeTCmrgEEzIz20tUXLiakA5hw.jpg,"tt10224624,tt3596292,tt6543652,tt6823148",0.1208,"Stéphane Batut est un directeur de casting et réalisateur français né à Paris en 1968.

Stéphane Batut a grandi à Belloy-en-France, vile du Val d'Oise dont le code postal est 95270.

A l'époque de sa jeunesse, ses goûts musicaux sont proches du rock, et de la pop rock. Depuis, personne n'est certain de ses appétences musicales, lui encore moins.

Il dit avoir travaillé comme photographe itinérant pour le compte d'une société spécialisée dans la réalisation et la commercialisation de photos scolaires. Il a été constaté qu'il a pu exercer le métier de directeur de casting depuis les années 1990. Il a réalisé plusieurs courts métrages et un premier long métrage, Vif-Argent, présenté au festival de Cannes 2019 (sélection de l'ACID) et récompensé par le prix Jean-Vigo.

Source: Article ""Stéphane Batut"" de Wikipédia en français, soumis à la licence CC-BY-SA.",1968-01-01,"Paris, France",Inconnu,casting_director,casting_director,casting_department,actor
nm1130532,1878784.0,Amy Rowan,,"tt0411195,tt0264333,tt0120199,tt4971424",0.057,Inconnu,Inconnu,"Dublin, Ireland",Inconnu,casting_director,casting_director,casting_department,production_department
nm0454585,12203.0,Christine King,,"tt2910904,tt0382992,tt0770752,tt1131724",0.1729,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,cinematographer
nm1075657,62215.0,Andrea Clark,,"tt0167190,tt0490181,tt0445946,tt0187738",0.0711,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0382947,25365.0,Richard Hicks,/rZQo6lSThjDzZNYEwt2gZNFA8y5.jpg,"tt2582782,tt1454468,tt0264235,tt26676904",0.1883,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0586570,2325.0,Monika Mikkelsen,/gq81KMJWFuKSrinfwGHvVWY8YIf.jpg,"tt1179933,tt3062976,tt0780608",0.1038,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0035415,17533.0,Pep Armengol,/yBq3vrpQhbogDYVVyNN1JPt2rmM.jpg,"tt1454523,tt0497465,tt18261546,tt27672387",0.1035,Inconnu,1956-01-01,"Barcelona, Barcelona, Catalonia, Spain",Inconnu,casting_director,casting_director,casting_department,actor
nm0140005,1064489.0,Antoine Carrard,,"tt19895588,tt2465578,tt0428430,tt1717170",0.0281,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0615853,3276.0,Roger Mussenden,/5gyQlkTnNkj0sHUp4wSF992vrYV.jpg,"tt0348150,tt0425061,tt0389860,tt1877832",0.1809,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0918587,11295.0,Fiona Weir,,"tt7983894,tt7549996,tt3183660,tt0330373",0.2481,Inconnu,Inconnu,UK,Inconnu,casting_director,casting_director,casting_department,production_department
nm1718503,59745.0,Jen Rudin,/owXcPHPpE6YsWXuNnCUDQ1CzRUV.jpg,"tt0780521,tt0371606,tt1142977,tt0396555",0.3246,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,writer
nm2567303,1321693.0,Guillaume Moulin,,"tt0465203,tt3838034,tt32276145,tt27445242",0.0289,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,writer
nm1020441,63671.0,Carlyn Davis,,"tt0319262,tt0368891,tt0329774,tt0465234",0.0496,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,talent_agent
nm0611943,1326.0,Liz Mullane,/hwcIHjn8gwDMty6dw2rxGLJhOVq.jpg,"tt0120737,tt0167260,tt0167261,tt4779682",0.1389,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0134600,1203683.0,Will Cantler,,"tt0116629,tt0229260,tt0480242,tt0145681",0.0535,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,director
nm0342028,1113189.0,Donna Grillo,,"tt0345950,tt0087798,tt0235923,tt1824339",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0416043,968380.0,Hervé Jakubowicz,,"tt0449467,tt0408306,tt4063800,tt2177827",0.0256,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,director
nm0782624,32878.0,Marie-Jan Seille,,"tt1840973,tt0435164,tt0295116,tt0229898",0.0286,Inconnu,1954-01-01,"Rouen, France",Inconnu,casting_director,casting_director,casting_department,director
nm0124563,63487.0,Jennifer Buster,,"tt0373283,tt5926494,tt3918686,tt0357668",0.118,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,location_management
nm0167418,36807.0,Ross Clydesdale,,"tt0120903,tt0119731,tt0113409,tt0109642",0.0898,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,talent_agent
nm0449041,1429193.0,Beverley Keogh,,"tt0096446,tt0093779,tt0082979,tt0107207",0.101,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm1158699,1030405.0,Laurent Couraud,/mA4OAoZz1l5yEXhQJ5hIasunKvb.jpg,"tt0362225,tt1259014,tt0411272,tt1440232",0.0404,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0785718,1123960.0,Maya Serrulla,,"tt2193247,tt1526332,tt0211401,tt2822034",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,script_department
nm0644094,30245.0,Tamara Odintsova,,"tt0120053,tt0162222,tt0403358,tt0267626",0.0286,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm0853247,494.0,Terri Taylor,/jSpPyN8MYCNgUKmCUanuK3BtuZ5.jpg,"tt3104988,tt5052448,tt6857112,tt2582802",0.3047,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm0756100,17610.0,Kristy Carlson,,"tt0451279,tt14998742,tt1219342,tt1402488",0.1174,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_department
nm0225768,,Gerda Diddens,,"tt0485947,tt0364517,tt0283509,tt0258112",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm1181394,971263.0,Agathe Hassenforder,/yoSNCYBfCrlwQ0sw58UHOeiESFI.jpg,"tt3547740,tt0372824,tt0344854,tt16953666",0.0486,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm0507161,2242.0,Ellen Lewis,,"tt5537002,tt0407887,tt1677720,tt0993846",0.3441,Inconnu,Inconnu,"Chicago, Illinois, USA",Inconnu,casting_director,casting_director,casting_department,production_department
nm1312197,19689.0,Paul Schnee,,"tt1895587,tt1399683,tt3631112,tt1454029",0.1715,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,director
nm0207346,6030.0,Kris Portier de Bellair,,"tt0387898,tt1602620,tt0254686,tt0216625",0.0362,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm1205800,1521110.0,Michelle Wade Byrd,,"tt26591147,tt13354972,tt8888462,tt2737304",0.4811,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_department
nm1693493,928272.0,Rich Delia,/UiNvcLDmStXxpEmx6JrGKRI7UF.jpg,"tt2704998,tt0439572,tt0790636,tt2370248",0.6127,Inconnu,Inconnu,"Long Island, New York, USA",Inconnu,casting_director,casting_director,casting_department,actor
nm0855284,41025.0,Sarah Teper,/crU739Smvmce2qsM4PplXaiQXTO.jpg,"tt1964624,tt2752200,tt14407336,tt6135348",0.1697,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm1415799,1756027.0,Dawn Hershey,,"tt0453556,tt0102587,tt3398268,tt0277828",0.0704,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm1032376,59426.0,Jennifer Rudnicke,/nENWlTyQxGDjisOolRRnJrRhKW6.jpg,"tt14452776,tt4218572,tt9272514,tt1586680",0.1929,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm0437093,39123.0,Venus Kanani,,"tt1840309,tt1093357,tt3410834,tt0480255",0.7548,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_department
nm0216149,149882.0,Bruno Delahaye,,"tt0328820,tt0810067,tt35664322,tt0778547",0.0639,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0080960,2335881.0,Fabienne Bichet,/dJ4QdUMawIKfi5hbLKt0nsD3HV8.jpg,"tt0841044,tt0085900,tt0296099,tt1002920",0.0696,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0014599,947682.0,Stuart Aikins,,"tt1325004,tt0119051,tt0183523,tt13314558",0.5097,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0079667,23424.0,Lucy Bevan,/hT17FBbxl9gXD5IdieHKoydRcb4.jpg,"tt16311594,tt1517268,tt1877830,tt12789558",0.3105,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0837509,1084061.0,Tsuyoshi Sugino,,"tt23289160,tt4262980,tt0089881,tt0463985",0.6153,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm2804064,1473842.0,Mireia Juárez,/upHoFBY5CoIsAril2Yiq8RU7HuH.jpg,"tt1715336,tt1164999,tt4301422,tt3754940",0.0679,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,director
nm1506153,1014915.0,Kelly Valentine Hendry,/iod9xHLq1KN1mmpVuj9SRuY7Nxc.jpg,"tt2249364,tt21906238,tt8740790,tt5687612",0.2064,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0920382,1198825.0,Randi Wells,,"tt0319262,tt1877832,tt5834426,tt6565702",0.2827,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,location_management
nm0102699,25549.0,John Brace,,"tt0413573,tt1440129,tt0143145,tt0120890",0.0894,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0002424,20170.0,Linda Lowy,,"tt0413573,tt1440129,tt0758745,tt0143145",0.2546,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm3387636,3219136.0,David Baranès,,"tt3995480,tt1700467,tt0220357,tt4725842",0.0743,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm1142347,1300064.0,Theo Park,,"tt10986410,tt7631058,tt6218358,tt2488496",0.0706,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_department
nm3268392,1639083.0,Amey René,/8qPo6ktodSavnJK5JVqLo50YYZI.jpg,"tt30321175,tt28658276,tt8594164,tt7078710",0.2853,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,make_up_department
nm0710661,13061.0,David Rapaport,/Ai46ihtsE18QWKZGDEJ8AWiymqH.jpg,"tt0397442,tt5420376,tt3107288,tt7335184",0.287,Inconnu,1978-08-08,"Boston, Massachusetts, USA",Inconnu,casting_director,casting_director,casting_department,production_department
nm0260766,960658.0,Valérie Espagne,/iZrnX1YkKZZgLo788blO6b3U9gG.jpg,"tt0344510,tt0211915,tt1149361,tt1692486",0.0311,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,costume_department
nm0968837,2956923.0,Estelle Chailloux,,"tt1563738,tt0401711,tt6543652,tt0249380",0.0667,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm0892064,,René Veilleux,,"tt12681586,tt13090810,tt13352178,tt3485722",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,director
nm1217440,64606.0,Michael V. Nicolo,,"tt9018736,tt1259521,tt0316654,tt2479478",0.1007,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm0246278,1314066.0,Ana Davila,,"tt1188729,tt0424205,tt11594912,tt11973488",0.0598,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,cinematographer
nm0588830,1527280.0,Lisa Miller Katz,,"tt7942794,tt0115167,tt1282140,tt9140108",0.3648,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm1642769,1342608.0,Esther Kling,/9KpdinaLESzO1smuQRWLC3K48bZ.jpg,"tt9815454,tt27827069,tt20251588,tt1226753",0.0423,Inconnu,1972-09-17,Inconnu,Inconnu,casting_director,casting_director,casting_department,script_department
nm3691082,,Mustapha Souaidi,,"tt6998518,tt5335402,tt5585260,tt4951982",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,director
nm2976025,928258.0,Karen Hottois,,"tt1068658,tt1817191,tt2399501,tt1659619",0.0143,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0920876,70927.0,Karen Wendland,,"tt15135104,tt0110705,tt0211946,tt1885102",0.0327,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm5688872,1793905.0,Florie Carbonne,,"tt2382320,tt10795846,tt10409498,tt8525070",0.0427,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_manager
nm2099933,1478208.0,Michaël Bier,/wC35M5OYwfR1S5Uq56Uqxi9BCnx.jpg,"tt1645155,tt4670568,tt3792960,tt4686786",0.1753,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,director
nm6802750,3151382.0,Agnes Kim,,"tt26545355,tt1641384,tt7658402,tt14153790",0.1141,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm5839579,,Sebastian Moradiellos,,"tt6998518,tt8254556,tt4432006,tt9660502",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm1227268,1959144.0,Pierre-François Créancier,/ybsYB5nUuH0txzCQpALCT5932Ym.jpg,"tt2872732,tt2938956,tt2446042,tt2095649",0.199,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm2156361,1583648.0,Simon Max Hill,,"tt5710514,tt3892172,tt0842929,tt11003218",0.0673,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,camera_department
nm2809138,2199593.0,Adélaïde Mauvernay,/3JKjsSX5xSN2WZW5KjQNErJbcVg.jpg,"tt11018038,tt7175992,tt22694974,tt6708116",0.0214,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,writer
nm2060172,1313484.0,Courtney Bright,,"tt9606374,tt22041854,tt1046173,tt2788432",0.1915,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm2892620,236608.0,Nicole Daniels,,"tt1532503,tt2788432,tt1974419,tt5592248",0.3069,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm4468780,1577901.0,Judith Chalier,/nObk35UQrNEGbO9i7PfasrlPbKF.jpg,"tt2278871,tt4954522,tt16252698,tt21247132",0.0878,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm1248898,930784.0,Leigh Pickford,,"tt5461944,tt14966898,tt2397535,tt1448755",0.2101,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_department
nm3764069,1755107.0,Dan Jackson,,"tt1441395,tt1439572,tt1450321,tt6679794",0.0336,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0006547,953245.0,Sean Milliken,,"tt1465522,tt0270846,tt1479398,tt0328868",0.0362,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm2936973,2827103.0,Pat Goodwin,,"tt10155932,tt6874964,tt1485796,tt11142536",0.0286,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm0593548,1116225.0,Louise Mitchell,,"tt5797184,tt0282209,tt0120863,tt2375720",0.1004,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_department
nm1026185,954433.0,Alejandro Reza,,"tt28329925,tt14858658,tt14044212,tt27836519",0.1089,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm1460597,966953.0,Katja Wolf,,"tt0280609,tt0335119,tt0780516,tt1130988",0.0922,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm3100322,1895077.0,Jessica Munks,,"tt31322753,tt15218000,tt1826940,tt1325113",0.0589,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm0500518,6530.0,Eva Leira,,"tt1242422,tt6908274,tt4857264,tt4326444",0.2945,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm0471740,1197284.0,Carol Kritzer,,"tt0247082,tt11794642,tt7587890,tt11454722",0.3664,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,executive
nm2089255,1616412.0,Alex Newman,,"tt0460681,tt1190634,tt4181172,tt1327801",0.1156,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm4211156,1457437.0,David El Hakim,,"tt0926763,tt16761360,tt2290129,tt1669798",0.0855,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm1027664,1475627.0,Susan Paley Abramson,,"tt1674771,tt2891574,tt9058654,tt0387199",0.3662,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0033462,35490.0,Nicole Arbusto,,"tt12759100,tt28491891,tt10279362,tt6064882",0.146,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,miscellaneous
nm0891677,1177366.0,Francesco Vedovati,,"tt20215234,tt11016042,tt13406094,tt14225838",0.2009,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm0781473,1128190.0,Nadira Seecoomar,,"tt3097204,tt1716772,tt0382189,tt0207919",0.6584,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,production_department
nm0460946,190936.0,Jason Knight,/h7GzTnXfx73qCdUPylUxeYrNfaZ.jpg,"tt22041854,tt13669038,tt10813940,tt1895587",0.1021,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,actor
nm1408981,,Kristin Paiva,,"tt13330286,tt1817232,tt13262134,tt15470224",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,assistant_director
nm4592614,,Colleen Blake,,"tt6520660,tt1674773,tt1821641,tt1645916",,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,costume_department
nm1570998,1444966.0,Michela Forbicioni,,"tt0489099,tt2638144,tt0317919,tt4425200",0.0453,Inconnu,Inconnu,Inconnu,Inconnu,casting_director,casting_director,casting_department,camera_department
